gpslati,gpslong,nodeid,nodenm,nodeno
37.3527333,126.9455333,GGB225000117,군포1동행정복지센터.군포역,26128
37.3759833,126.9412833,GGB225000125,산본고가도로,26094
37.3737667,126.9423833,GGB225000126,산본1동,26101
37.3717833,126.9422,GGB225000127,금정역,26098
37.3702833,126.9399667,GGB225000128,삼성아파트입구,26083
37.36845,126.9382667,GGB225000129,산본시장사거리,26077
37.3649667,126.9403167,GGB225000130,금정초등학교,26086
37.3631833,126.94135,GGB225000131,국민은행,26095
37.3619,126.9406333,GGB225000132,신환아파트,26091
37.3607167,126.9384167,GGB225000133,군포경찰서,26078
37.3530667,126.9328,GGB225000136,군포화산초등학교.소월아파트,26048
37.3521667,126.9284167,GGB225000145,흥진중학교,26034
37.3532333,126.9327,GGB225000147,3단지.율곡아파트,26047
37.3621833,126.9404333,GGB225000151,신환아파트,26087
37.3634167,126.9408667,GGB225000152,국민은행,26093
37.3647833,126.9400833,GGB225000153,금정초등학교,26085
37.3683167,126.9379667,GGB225000154,산본래미안아파트,26076
37.3705333,126.93955,GGB225000155,산본1동입구,26081
37.3737833,126.942,GGB225000156,산본1동,26097
37.3758333,126.9409833,GGB225000157,산본고가도로,26092
37.3633833,126.9598833,GGB225000158,한솔테크노타운,26163
37.3626833,126.9509667,GGB225000160,농심,26170
37.3669667,126.9425833,GGB225000170,은혜공원,26190
37.3566,126.91615,GGB225000200,중앙도서관,26230
37.3609833,126.9381833,GGB225000210,느티울공원입구,26191
37.3593667,126.92685,GGB225000211,7단지아파트,26199
37.3591667,126.9270333,GGB225000212,6단지아파트,26193
37.3614833,126.9307167,GGB225000213,중앙공원,26195
37.3612667,126.9309167,GGB225000214,이마트,26198
37.3727,126.93665,GGB225000215,14단지아파트사거리,26192
37.3740833,126.9382667,GGB225000216,산본1동행정복지센터,26194
37.3595167,126.91795,GGB225000239,수리동성당,26221
37.3559,126.9595833,GGB225000282,애자교입구,26259
37.3560833,126.9594667,GGB225000283,애자교입구,26260
37.3518167,126.9611,GGB225000452,경기외고,26437
37.3672,126.9669167,GGB226000003,LG아파트,27045
37.3622667,126.9678333,GGB226000004,의왕초등학교,27051
37.3518333,126.9789167,GGB226000008,선경무궁화아파트,27093
37.35385,126.9763167,GGB226000009,의왕시평생학습관.복전원,27082
37.3554333,126.9711333,GGB226000010,오전초등학교.동백아파트,27062
37.3575333,126.9689667,GGB226000011,글로벌도서관.신안아파트,27054
37.3578,126.9689667,GGB226000012,글로벌도서관.성원아파트,27053
37.3557,126.9709833,GGB226000013,오전초등학교.동백아파트,27061
37.35445,126.9758167,GGB226000014,의왕시평생학습관,27075
37.3521833,126.9787167,GGB226000015,선경무궁화아파트,27091
37.3844,126.9763833,GGB226000016,인덕원센트럴자이아파트사거리,27083
37.3849833,126.9839,GGB226000019,포일성당,27114
37.3868,126.9844167,GGB226000020,백운고등학교,27115
37.3887833,126.9824667,GGB226000021,내손초등학교.인덕원퍼스비엘아파트,27110
37.3908,126.9805167,GGB226000022,두산위브2단지,27101
37.3899,126.9783167,GGB226000023,두산위브1단지.내손이편한세상1단지,27090
37.3883167,126.9745667,GGB226000024,농협삼거리.우미린아파트,27153
37.3540333,126.9697333,GGB226000043,오전동주민센터,27133
37.3577667,126.9661333,GGB226000044,신안아파트.글로벌도서관,27139
37.36085,126.9627,GGB226000045,의왕더샵캐슬아파트.가구단지입구,27156
37.3568167,126.9678333,GGB226000046,의왕지구대.글로벌도서관,27135
37.3534,126.9709833,GGB226000047,오전동주민센터,27138
37.3863333,126.9784167,GGB226000052,내손이편한세상4단지,27095
37.3883333,126.9805,GGB226000053,내동.내손초등학교,27107
37.39165,126.9819833,GGB226000054,동아에코빌.인덕원퍼스비엘아파트,27111
37.395,126.9849667,GGB226000056,인덕원푸르지오엘센트로.의왕고용복지플러스센터,27116
37.3953,126.98515,GGB226000057,인덕원푸르지오엘센트로.의왕고용복지플러스센터,27117
37.3914167,126.9820167,GGB226000059,인덕원퍼스비엘아파트.동아에코빌,27109
37.3882167,126.9807167,GGB226000060,내동.내손초등학교,27108
37.38605,126.9784333,GGB226000061,내손이편한세상5단지,27096
37.3832333,126.9777833,GGB226000062,의왕글로벌인재센터,27086
37.3815667,126.9755833,GGB226000063,의왕국민체육센터,27076
37.3779,126.9759667,GGB226000064,갈뫼중학교.내손1동주민센터,27078
37.3760667,126.9731667,GGB226000065,갈뫼초등학교,27069
37.3763667,126.9706667,GGB226000066,대원아파트,27060
37.3608833,126.9676833,GGB226000110,대명아파트.경기중앙교회,27052
37.3631667,126.9673,GGB226000111,해모로아파트.의왕초등학교,27049
37.36725,126.9666,GGB226000112,LG아파트,27044
37.3918667,126.98825,GGB226000117,서울구치소,27120
37.3919,126.9889,GGB226000118,서울구치소,27121
37.3797167,126.9749333,GGB226000123,계원예술대학교,27081
37.3606833,126.9634667,GGB226000124,의왕더샵캐슬아파트.가구단지입구,27134
37.37665,126.9705833,GGB226000126,대원아파트,27058
37.3761833,126.9723,GGB226000127,갈뫼초등학교,27065
37.3773,126.9752667,GGB226000128,갈뫼중학교.내손1동주민센터,27072
37.3815,126.9752,GGB226000130,의왕국민체육센터,27074
37.3833,126.9775667,GGB226000131,의왕글로벌인재센터,27089
37.3928333,126.9809,GGB226000132,벌말초교.한일나래,27104
37.3927833,126.9806,GGB226000133,벌말초교.한일나래,27151
