dong,category,sales_amount,sales_count
안양4동,생활서비스,1668181383,59912
안양4동,소매/유통,24849095706,1263230
안양4동,여가/오락,1253880284,40973
안양4동,음식,13451730237,796937
안양4동,의료/건강,17413256578,361228
안양4동,학문/교육,860750362,2859
안양5동,공공/기업/단체,29172193,265
안양5동,공연/전시,2723227,17
안양5동,미디어/통신,6280696,100
안양5동,생활서비스,1746111802,43280
안양5동,소매/유통,5618426397,258779
안양5동,여가/오락,190546928,12356
안양5동,음식,3087125236,176185
안양5동,의료/건강,12905559498,188404
안양5동,학문/교육,845588210,2368
안양6동,공공/기업/단체,307672195,22439
안양6동,미디어/통신,427155,29
안양6동,생활서비스,4378815485,97841
안양6동,소매/유통,8207778834,619514
안양6동,여가/오락,912961815,21657
안양6동,음식,6534184993,277668
안양6동,의료/건강,3909838698,69445
안양6동,학문/교육,847624533,3309
안양7동,공공/기업/단체,504789844,3922
안양7동,미디어/통신,8981916,379
안양7동,생활서비스,1895711687,46086
안양7동,소매/유통,8261682447,410665
안양7동,여가/오락,1017847177,43261
안양7동,음식,5765515816,378371
안양7동,의료/건강,3925084972,89384
안양7동,학문/교육,2554170725,12481
인덕원동,공공/기업/단체,1980937228,103144
인덕원동,공연/전시,3640582,109
인덕원동,미디어/통신,291548747,4300
인덕원동,생활서비스,12241927804,211090
인덕원동,소매/유통,19950722555,1113083
인덕원동,여가/오락,3486442345,95901
인덕원동,음식,28748634322,1109451
인덕원동,의료/건강,28032619675,403406
인덕원동,학문/교육,1114152000,21967
충훈동,공공/기업/단체,4351792,111
충훈동,미디어/통신,111317,2
충훈동,생활서비스,385445797,7223
충훈동,소매/유통,2399973166,195079
충훈동,여가/오락,121561890,4889
충훈동,음식,1285087586,89539
충훈동,의료/건강,558679496,22244
충훈동,학문/교육,741985613,2739
평안동,공공/기업/단체,23048597,47
평안동,미디어/통신,152841,2
평안동,생활서비스,2705354358,20535
평안동,소매/유통,2367680595,209252
평안동,여가/오락,47849510,117
평안동,음식,1188921793,85411
